Ano,Mes,Maximo
2014,1,381.3147943483087
2014,2,13.799974922325305
2014,3,80.13932260789203
2014,4,100.06861153455431
2014,5,44.15515068543849
2014,6,66.32560786126518
2014,7,60.64133524356659
2014,8,33.60948415929304
2014,9,22.59169939820795
2014,10,15.28403495972711
2014,11,26.630905138985607
2014,12,104.16783172442331
2015,1,99.23497580168386
2015,2,51.70979481122696
2015,3,105.20443970180025
2015,4,77.91953135753137
2015,5,38.426754245754296
2015,6,88.21819400044399
2015,7,13.088717948717946
2015,8,9.493785714285712
2015,9,56.57730169830169
2015,10,14.288633712048176
2015,11,63.19090143190146
2015,12,92.45005846930844
2016,1,184.77963675213672
2016,2,161.11541439116448
2016,3,163.28102464202462
2016,4,8.81095238095238
2016,5,36.21385678210678
2016,6,88.24406354756351
2016,7,13.133333333333333
2016,8,43.929722166722186
2016,9,123.63332312132306
2016,10,38.2109895937396
2016,11,378.48
2016,12,44.554036435786415
2017,1,29.172507936507934
2017,2,19.17444444444444
2017,3,72.5865238095238
2017,4,53.15577106227117
2017,5,41.16180358530364
2017,6,119.38332395382407
2017,7,38.14746042846047
2017,8,38.614216783216804
2017,9,14.359286408036402
2017,10,52.85064316239315
2017,11,92.72086546786544
2017,12,43.803141025641025
2018,1,76.67326731601736
2018,2,113.09061688311695
2018,3,79.57015476190476
2018,4,48.02533730158732
2018,5,43.46547222222226
2018,6,26.60247222222223
2018,7,33.03548160173161
2018,8,45.73373412698415
2018,9,42.29869047619047
2018,10,128.20367099567102
2018,11,154.72428751803753
2018,12,47.13858895659618
2019,1,74.1957546065046
2019,2,94.50473633179128
2019,3,116.75662454100106
2019,4,304.26144677258594
2019,5,89.70388844158609
2019,6,49.60884404599386
2019,7,45.66088012317319
2019,8,86.55966761499066
2019,9,65.25644554614357
2019,10,110.94823519053871
2019,11,44.59333333333334
2019,12,42.40301075268816
2020,1,60.0
2020,2,64.0
2020,3,51.38154761904763
2020,4,26.027333333333335
2020,5,49.42947619047622
2020,6,7.440000000000003
2020,7,30.773666666666642
2020,8,53.46095238095244
2020,9,85.88135714285714
2020,10,51.10439357864358
2020,11,56.011032106782146
2020,12,60.658224025974015
2021,1,9.298367086298121
2021,2,35.59632183908047
2021,3,22.493333333333332
2021,4,50.94146825396828
2021,5,38.58686507936509
2021,6,19.84695238095237
2021,7,21.558773809523807
2021,8,31.717047619047626
2021,9,11.313821428571428
2021,10,35.16245310245312
2021,11,44.58207647907646
2021,12,30.932964787447546
2022,1,26.3010767010767
2022,2,14.866666666666667
2022,3,52.58333333333334
2022,4,51.47961760461761
