Ano,Mes,Maximo
2014,1,546.7250507912423
2014,2,123.8723210259601
2014,3,953.0721830057938
2014,4,1028.2837064018413
2014,5,441.90031202137044
2014,6,655.7313696331712
2014,7,546.5983519336986
2014,8,269.9475161961033
2014,9,178.14076321636952
2014,10,195.56577589276242
2014,11,348.82027310198134
2014,12,1386.9542404966571
2015,1,1084.756516111448
2015,2,616.7534689248797
2015,3,1350.207480244619
2015,4,969.0700000000041
2015,5,428.5999999999985
2015,6,1112.2900000000104
2015,7,127.22000000000071
2015,8,95.72000000000047
2015,9,746.8500000000128
2015,10,124.19000000000085
2015,11,632.4700000000056
2015,12,667.1600000000009
2016,1,2018.7400000000073
2016,2,1850.7700000000054
2016,3,1016.2700000000057
2016,4,106.62000000000046
2016,5,464.2299999999947
2016,6,1270.2700000000225
2016,7,98.75000000000054
2016,8,434.6399999999942
2016,9,1551.8900000000249
2016,10,359.15999999999406
2016,11,810.630000000002
2016,12,430.70999999999117
2017,1,174.69000000000008
2017,2,105.40000000000035
2017,3,511.7499999999916
2017,4,726.450000000001
2017,5,603.4800000000037
2017,6,1527.3600000000085
2017,7,404.33999999999617
2017,8,309.0599999999991
2017,9,120.15000000000072
2017,10,441.5599999999952
2017,11,1039.5700000000063
2017,12,356.0099999999999
2018,1,625.28
2018,2,764.8300000000007
2018,3,455.8599999999976
2018,4,274.9299999999999
2018,5,170.02999999999992
2018,6,155.3299999999997
2018,7,224.64999999999938
2018,8,338.7199999999991
2018,9,236.44000000000008
2018,10,575.6699999999986
2018,11,1756.4700000000141
2018,12,812.9700000000004
2019,1,1168.100000000007
2019,2,1691.8900000000076
2019,3,1972.119999999999
2019,4,4737.509999999987
2019,5,1015.350000000006
2019,6,653.7300000000021
2019,7,647.3199999999957
2019,8,1110.7400000000055
2019,9,835.4400000000098
2019,10,1219.4500000000091
2019,11,1337.800000000017
2019,12,987.4000000000063
2020,1,60.0
2020,2,64.0
2020,3,311.41999999999865
2020,4,120.25000000000037
2020,5,279.8999999999989
2020,6,19.22999999999998
2020,7,110.87000000000049
2020,8,255.6499999999982
2020,9,403.2899999999977
2020,10,474.51999999999873
2020,11,400.9699999999979
2020,12,550.4599999999991
2021,1,265.3999999999983
2021,2,1067.4000000000067
2021,3,665.7999999999995
2021,4,305.61999999999694
2021,5,276.09999999999815
2021,6,69.28000000000029
2021,7,118.19000000000062
2021,8,129.73000000000062
2021,9,64.8700000000002
2021,10,296.2299999999945
2021,11,382.31999999999704
2021,12,872.7999999999996
2022,1,286.0
2022,2,94.0
2022,3,124.0
2022,4,436.0
